Tempo,Massa
168340,6.1295
168426,12.2899
168511,27.1735
168596,46.5736
168682,62.3977
168767,72.1737
168852,77.4578
168938,80.1708
169023,79.5403
169108,76.2345
169194,71.5759
169279,66.0416
169365,60.6704
169450,55.1056
169535,47.5559
169621,37.9203
169706,27.8035
169791,19.2874
169877,12.6587
169962,7.8134
170047,4.6876
